name,vote,parent_title,grandparent_title,date,chamber,debate_type,debate_id,subdebate_id,division_id
"Abetz, E",aye,In Committee,Tax Laws Amendment (2010 Measures No. 5) Bill 2010,2011-06-20,Senate,BILLS,16,1,0
"Adams, J (teller)",aye,In Committee,Tax Laws Amendment (2010 Measures No. 5) Bill 2010,2011-06-20,Senate,BILLS,16,1,0
"Back, CJ",aye,In Committee,Tax Laws Amendment (2010 Measures No. 5) Bill 2010,2011-06-20,Senate,BILLS,16,1,0
"Barnett, G",aye,In Committee,Tax Laws Amendment (2010 Measures No. 5) Bill 2010,2011-06-20,Senate,BILLS,16,1,0
"Bernardi, C",aye,In Committee,Tax Laws Amendment (2010 Measures No. 5) Bill 2010,2011-06-20,Senate,BILLS,16,1,0
"Birmingham, SJ",aye,In Committee,Tax Laws Amendment (2010 Measures No. 5) Bill 2010,2011-06-20,Senate,BILLS,16,1,0
"Boswell, RLD",aye,In Committee,Tax Laws Amendment (2010 Measures No. 5) Bill 2010,2011-06-20,Senate,BILLS,16,1,0
"Boyce, SK",aye,In Committee,Tax Laws Amendment (2010 Measures No. 5) Bill 2010,2011-06-20,Senate,BILLS,16,1,0
"Bushby, DC",aye,In Committee,Tax Laws Amendment (2010 Measures No. 5) Bill 2010,2011-06-20,Senate,BILLS,16,1,0
"Cash, MC",aye,In Committee,Tax Laws Amendment (2010 Measures No. 5) Bill 2010,2011-06-20,Senate,BILLS,16,1,0
"Cormann, M",aye,In Committee,Tax Laws Amendment (2010 Measures No. 5) Bill 2010,2011-06-20,Senate,BILLS,16,1,0
"Eggleston, A",aye,In Committee,Tax Laws Amendment (2010 Measures No. 5) Bill 2010,2011-06-20,Senate,BILLS,16,1,0
"Ferguson, AB",aye,In Committee,Tax Laws Amendment (2010 Measures No. 5) Bill 2010,2011-06-20,Senate,BILLS,16,1,0
"Fierravanti-Wells, C",aye,In Committee,Tax Laws Amendment (2010 Measures No. 5) Bill 2010,2011-06-20,Senate,BILLS,16,1,0
"Fifield, MP",aye,In Committee,Tax Laws Amendment (2010 Measures No. 5) Bill 2010,2011-06-20,Senate,BILLS,16,1,0
"Fisher, M",aye,In Committee,Tax Laws Amendment (2010 Measures No. 5) Bill 2010,2011-06-20,Senate,BILLS,16,1,0
"Heffernan, W",aye,In Committee,Tax Laws Amendment (2010 Measures No. 5) Bill 2010,2011-06-20,Senate,BILLS,16,1,0
"Humphries, G",aye,In Committee,Tax Laws Amendment (2010 Measures No. 5) Bill 2010,2011-06-20,Senate,BILLS,16,1,0
"Joyce, B",aye,In Committee,Tax Laws Amendment (2010 Measures No. 5) Bill 2010,2011-06-20,Senate,BILLS,16,1,0
"Kroger, H",aye,In Committee,Tax Laws Amendment (2010 Measures No. 5) Bill 2010,2011-06-20,Senate,BILLS,16,1,0
"Macdonald, ID",aye,In Committee,Tax Laws Amendment (2010 Measures No. 5) Bill 2010,2011-06-20,Senate,BILLS,16,1,0
"Mason, B",aye,In Committee,Tax Laws Amendment (2010 Measures No. 5) Bill 2010,2011-06-20,Senate,BILLS,16,1,0
"McGauran, JJJ",aye,In Committee,Tax Laws Amendment (2010 Measures No. 5) Bill 2010,2011-06-20,Senate,BILLS,16,1,0
"Minchin, NH",aye,In Committee,Tax Laws Amendment (2010 Measures No. 5) Bill 2010,2011-06-20,Senate,BILLS,16,1,0
"Parry, S",aye,In Committee,Tax Laws Amendment (2010 Measures No. 5) Bill 2010,2011-06-20,Senate,BILLS,16,1,0
"Payne, MA",aye,In Committee,Tax Laws Amendment (2010 Measures No. 5) Bill 2010,2011-06-20,Senate,BILLS,16,1,0
"Ronaldson, M",aye,In Committee,Tax Laws Amendment (2010 Measures No. 5) Bill 2010,2011-06-20,Senate,BILLS,16,1,0
"Ryan, SM",aye,In Committee,Tax Laws Amendment (2010 Measures No. 5) Bill 2010,2011-06-20,Senate,BILLS,16,1,0
"Scullion, NG",aye,In Committee,Tax Laws Amendment (2010 Measures No. 5) Bill 2010,2011-06-20,Senate,BILLS,16,1,0
